customer_id,signup_date,customer_name,email,region,tier,customer_segment,acquisition_channel,churn_status,churn_date
CUST-000028,2023-11-11,Customer 28,client_28@example.com,Tier 1 - West,Tier 1,Consumer,Paid Search,False,
CUST-000029,2024-05-12,Customer 29,client_29@example.com,Tier 2 - Central,Tier 2,Consumer,Paid Search,False,
CUST-000030,2024-05-01,Customer 30,client_30@example.com,East,Tier 1,Consumer,Paid Social,False,
CUST-000031,2023-08-05,Customer 31,client_31@example.com,East,Tier 1,Consumer,Paid Social,False,
CUST-000032,2024-02-13,Customer 32,client_32@example.com,East,Tier 1,Consumer,Paid Social,False,
CUST-000033,2023-05-04,Customer 33,client_33@example.com,Tier 1 - West,Tier 1,Consumer,Paid Social,False,
CUST-000034,2023-08-14,Customer 34,client_34@example.com,Tier 1 - West,Tier 1,Consumer,Paid Search,False,
CUST-000035,2023-02-02,Customer 35,client_35@example.com,Tier 2 - Central,Tier 2,Consumer,Organic Search,True,2023-05-03
CUST-000036,2024-07-06,Customer 36,client_36@example.com,Tier 1 - West,Tier 1,Consumer,Organic Search,False,
CUST-000037,2024-04-29,Customer 37,client_37@example.com,Tier 2 - Central,Tier 2,Consumer,Organic Search,False,
CUST-000038,2024-03-09,Customer 38,client_38@example.com,Tier 1 - South,Tier 1,Consumer,Paid Social,False,
CUST-000039,2023-04-11,Customer 39,client_39@example.com,Tier 1 - West,Tier 1,SMB,Paid Search,False,
CUST-000040,2023-07-16,Customer 40,client_40@example.com,Tier 1 - West,Tier 1,Consumer,Organic Search,False,
CUST-000041,2023-09-13,Customer 41,client_41@example.com,Tier 2 - Central,Tier 2,SMB,Paid Social,True,2024-02-23
CUST-000042,2023-02-21,Customer 42,client_42@example.com,Tier 2 - North,Tier 2,Consumer,Paid Search,False,
CUST-000043,2023-08-31,Customer 43,client_43@example.com,Tier 1 - West,Tier 1,Consumer,Organic Search,False,
CUST-000044,2023-03-02,Customer 44,client_44@example.com,Tier 1 - West,Tier 1,Consumer,Affiliate,True,2023-06-19
CUST-000045,2024-04-10,Customer 45,client_45@example.com,Tier 1 - South,Tier 1,SMB,Affiliate,False,
CUST-000046,2024-05-13,Customer 46,client_46@example.com,Tier 1 - West,Tier 1,VIP Enterprise,Paid Social,False,
CUST-000047,2024-07-09,Customer 47,client_47@example.com,Tier 1 - West,Tier 1,Consumer,Organic Search,False,
CUST-000048,2024-06-27,Customer 48,client_48@example.com,Tier 1 - West,Tier 1,Consumer,Paid Search,False,
CUST-000049,2023-03-11,Customer 49,client_49@example.com,Tier 2 - North,Tier 2,Consumer,Affiliate,False,
CUST-000050,2023-09-10,Customer 50,client_50@example.com,Tier 2 - North,Tier 2,Consumer,Paid Social,True,2023-11-19
CUST-000051,2024-06-19,Customer 51,client_51@example.com,Tier 1 - South,Tier 1,Consumer,Organic Search,False,
CUST-000052,2023-09-29,Customer 52,client_52@example.com,Tier 1 - South,Tier 1,Consumer,Organic Search,False,
CUST-000053,2023-03-16,Customer 53,client_53@example.com,Tier 1 - West,Tier 1,Consumer,Paid Search,False,
CUST-000054,2024-07-04,Customer 54,client_54@example.com,Tier 1 - West,Tier 1,VIP Enterprise,Affiliate,False,
CUST-000055,2023-09-08,Customer 55,client_55@example.com,Tier 1 - South,Tier 1,SMB,Paid Social,False,
CUST-000056,2024-06-25,Customer 56,client_56@example.com,Tier 1 - West,Tier 1,Consumer,Paid Social,False,
CUST-000057,2023-05-18,Customer 57,client_57@example.com,Tier 1 - South,Tier 1,SMB,Paid Search,False,
CUST-000058,2023-10-16,Customer 58,client_58@example.com,Tier 2 - North,Tier 2,Consumer,Paid Social,False,
CUST-000059,2023-09-28,Customer 59,client_59@example.com,Tier 2 - North,Tier 2,SMB,Paid Search,False,
CUST-000060,2024-03-09,Customer 60,client_60@example.com,Tier 2 - Central,Tier 2,SMB,Paid Social,True,2024-06-19
CUST-000061,2023-09-26,Customer 61,client_61@example.com,Tier 1 - West,Tier 1,SMB,Paid Social,False,
CUST-000062,2023-04-25,Customer 62,client_62@example.com,Tier 1 - West,Tier 1,SMB,Paid Social,False,
CUST-000063,2024-01-14,Customer 63,client_63@example.com,Tier 2 - North,Tier 2,Consumer,Organic Search,False,
CUST-000064,2023-02-10,Customer 64,client_64@example.com,Tier 2 - Central,Tier 2,Consumer,Paid Search,False,
CUST-000065,2024-07-27,Customer 65,client_65@example.com,Tier 2 - Central,Tier 2,Consumer,Paid Search,False,
CUST-000066,2023-08-31,Customer 66,client_66@example.com,Tier 2 - Central,Tier 2,SMB,Affiliate,False,
CUST-000067,2023-01-26,Customer 67,client_67@example.com,Tier 1 - West,Tier 1,SMB,Organic Search,False,
CUST-000068,2023-09-12,Customer 68,client_68@example.com,Tier 1 - South,Tier 1,Consumer,Affiliate,False,
CUST-000069,2024-04-26,Customer 69,client_69@example.com,Tier 1 - West,Tier 1,Consumer,Organic Search,False,
CUST-000070,2023-08-22,Customer 70,client_70@example.com,Tier 1 - West,Tier 1,Consumer,Organic Search,False,
CUST-000071,2023-03-13,Customer 71,client_71@example.com,East,Tier 1,Consumer,Organic Search,False,
CUST-000072,2024-07-03,Customer 72,client_72@example.com,Tier 1 - South,Tier 1,VIP Enterprise,Paid Search,True,2024-12-22
CUST-000073,2023-09-29,Customer 73,client_73@example.com,Tier 1 - West,Tier 1,Consumer,Affiliate,False,
CUST-000074,2024-03-22,Customer 74,client_74@example.com,Tier 2 - North,Tier 2,Consumer,Paid Social,False,
CUST-000075,2023-09-18,Customer 75,client_75@example.com,Tier 1 - West,Tier 1,Consumer,Affiliate,False,
CUST-000076,2023-07-21,Customer 76,client_76@example.com,Tier 1 - South,Tier 1,Consumer,Organic Search,False,
CUST-000077,2023-11-18,Customer 77,client_77@example.com,Tier 2 - North,Tier 2,SMB,Paid Social,False,
CUST-000078,2024-02-23,Customer 78,client_78@example.com,Tier 1 - South,Tier 1,Consumer,Paid Search,False,
CUST-000079,2024-01-24,Customer 79,client_79@example.com,Tier 2 - North,Tier 2,Consumer,Organic Search,False,
CUST-000080,2024-07-15,Customer 80,client_80@example.com,Tier 2 - Central,Tier 2,Consumer,Affiliate,False,
CUST-000081,2023-11-26,Customer 81,client_81@example.com,Tier 1 - South,Tier 1,Consumer,Organic Search,False,
CUST-000082,2023-06-23,Customer 82,client_82@example.com,Tier 2 - North,Tier 2,Consumer,Paid Social,False,
CUST-000083,2023-04-06,Customer 83,client_83@example.com,Tier 2 - Central,Tier 2,Consumer,Paid Search,False,
CUST-000084,2023-07-23,Customer 84,client_84@example.com,Tier 1 - West,Tier 1,Consumer,Paid Social,True,2023-11-20
CUST-000085,2024-04-11,Customer 85,client_85@example.com,Tier 1 - South,Tier 1,Consumer,Paid Social,False,
CUST-000086,2024-05-21,Customer 86,client_86@example.com,Tier 1 - South,Tier 1,Consumer,Affiliate,False,
CUST-000087,2023-04-20,Customer 87,client_87@example.com,Tier 2 - Central,Tier 2,SMB,Paid Social,False,
CUST-000088,2024-04-20,Customer 88,client_88@example.com,Tier 1 - West,Tier 1,SMB,Organic Search,False,
CUST-000089,2024-04-20,Customer 89,client_89@example.com,Tier 2 - North,Tier 2,Consumer,Email Marketing,False,
CUST-000090,2024-03-29,Customer 90,client_90@example.com,Tier 2 - North,Tier 2,Consumer,Affiliate,False,
CUST-000091,2024-07-15,Customer 91,client_91@example.com,Tier 1 - South,Tier 1,SMB,Organic Search,False,
CUST-000092,2023-09-11,Customer 92,client_92@example.com,Tier 2 - Central,Tier 2,SMB,Organic Search,False,
CUST-000093,2023-09-02,Customer 93,client_93@example.com,Tier 1 - South,Tier 1,Consumer,Organic Search,False,
CUST-000094,2023-11-24,Customer 94,client_94@example.com,Tier 2 - Central,Tier 2,Consumer,Paid Social,True,2024-02-11
CUST-000095,2023-08-08,Customer 95,client_95@example.com,Tier 1 - West,Tier 1,Consumer,Organic Search,False,
CUST-000096,2023-07-31,Customer 96,client_96@example.com,Tier 2 - Central,Tier 2,SMB,Email Marketing,False,
CUST-000097,2023-01-21,Customer 97,client_97@example.com,Tier 2 - Central,Tier 2,Consumer,Paid Search,False,
CUST-000098,2023-12-27,Customer 98,client_98@example.com,Tier 1 - South,Tier 1,SMB,Affiliate,False,
CUST-000099,2024-07-05,Customer 99,client_99@example.com,Tier 2 - Central,Tier 2,Consumer,Paid Search,False,
CUST-000100,2023-08-13,Customer 100,client_100@example.com,Tier 1 - South,Tier 1,Consumer,Paid Social,False,
CUST-000101,2024-02-19,Customer 101,client_101@example.com,Tier 2 - Central,Tier 2,SMB,Email Marketing,False,
CUST-000102,2024-06-30,Customer 102,client_102@example.com,Tier 1 - West,Tier 1,Consumer,Paid Search,False,
CUST-000103,2024-03-14,Customer 103,client_103@example.com,Tier 1 - West,Tier 1,Consumer,Organic Search,False,
CUST-000104,2023-08-05,Customer 104,client_104@example.com,Tier 1 - South,Tier 1,SMB,Organic Search,False,
CUST-000105,2024-03-07,Customer 105,client_105@example.com,Tier 1 - South,Tier 1,Consumer,Paid Social,False,
CUST-000106,2023-12-25,Customer 106,client_106@example.com,Tier 1 - West,Tier 1,VIP Enterprise,Paid Search,False,
CUST-000107,2023-02-01,Customer 107,client_107@example.com,East,Tier 1,Consumer,Paid Search,False,
CUST-000108,2023-05-10,Customer 108,client_108@example.com,Tier 2 - North,Tier 2,VIP Enterprise,Organic Search,False,
CUST-000109,2023-09-20,Customer 109,client_109@example.com,Tier 2 - Central,Tier 2,Consumer,Paid Social,False,
CUST-000110,2023-04-28,Customer 110,client_110@example.com,Tier 2 - Central,Tier 2,Consumer,Paid Social,False,
CUST-000111,2023-11-16,Customer 111,client_111@example.com,Tier 2 - North,Tier 2,Consumer,Email Marketing,False,
CUST-000112,2023-07-23,Customer 112,client_112@example.com,Tier 1 - West,Tier 1,Consumer,Paid Search,False,
CUST-000113,2023-11-05,Customer 113,client_113@example.com,Tier 2 - Central,Tier 2,Consumer,Email Marketing,False,
CUST-000114,2023-02-12,Customer 114,client_114@example.com,Tier 1 - South,Tier 1,Consumer,Paid Social,False,
CUST-000115,2023-12-16,Customer 115,client_115@example.com,Tier 1 - West,Tier 1,Consumer,Organic Search,False,
CUST-000116,2024-01-06,Customer 116,client_116@example.com,Tier 2 - North,Tier 2,SMB,Organic Search,False,
CUST-000117,2024-06-18,Customer 117,client_117@example.com,East,Tier 1,SMB,Paid Social,False,
CUST-000118,2024-05-10,Customer 118,client_118@example.com,Tier 1 - South,Tier 1,Consumer,Organic Search,False,
CUST-000119,2023-09-09,Customer 119,client_119@example.com,Tier 2 - Central,Tier 2,Consumer,Paid Social,True,2024-02-28
CUST-000120,2024-08-06,Customer 120,client_120@example.com,Tier 2 - North,Tier 2,Consumer,Affiliate,False,
CUST-000121,2023-07-06,Customer 121,client_121@example.com,Tier 2 - North,Tier 2,Consumer,Organic Search,False,
CUST-000122,2023-10-10,Customer 122,client_122@example.com,Tier 2 - North,Tier 2,Consumer,Paid Search,False,
CUST-000123,2024-02-21,Customer 123,client_123@example.com,Tier 2 - North,Tier 2,Consumer,Paid Social,False,
CUST-000124,2024-05-17,Customer 124,client_124@example.com,Tier 1 - South,Tier 1,Consumer,Paid Social,True,2024-08-22
CUST-000125,2023-11-10,Customer 125,client_125@example.com,Tier 2 - North,Tier 2,Consumer,Organic Search,False,
CUST-000126,2024-07-17,Customer 126,client_126@example.com,Tier 1 - South,Tier 1,Consumer,Organic Search,False,
CUST-000127,2023-05-04,Customer 127,client_127@example.com,Tier 2 - Central,Tier 2,SMB,Email Marketing,False,
CUST-000128,2023-07-09,Customer 128,client_128@example.com,Tier 1 - West,Tier 1,Consumer,Paid Social,False,
CUST-000129,2024-06-21,Customer 129,client_129@example.com,Tier 2 - North,Tier 2,SMB,Organic Search,False,
CUST-000130,2024-01-05,Customer 130,client_130@example.com,Tier 1 - West,Tier 1,Consumer,Paid Search,True,2024-05-12
CUST-000131,2023-02-25,Customer 131,client_131@example.com,Tier 2 - North,Tier 2,Consumer,Affiliate,False,
CUST-000132,2024-05-17,Customer 132,client_132@example.com,Tier 1 - West,Tier 1,Consumer,Organic Search,True,2024-08-21
CUST-000133,2023-07-08,Customer 133,client_133@example.com,East,Tier 1,SMB,Paid Search,False,
CUST-000134,2023-03-08,Customer 134,client_134@example.com,Tier 1 - South,Tier 1,Consumer,Paid Search,False,
CUST-000135,2023-06-02,Customer 135,client_135@example.com,Tier 2 - Central,Tier 2,Consumer,Paid Search,False,
CUST-000136,2024-07-25,Customer 136,client_136@example.com,Tier 2 - Central,Tier 2,SMB,Paid Search,False,
CUST-000137,2024-06-19,Customer 137,client_137@example.com,Tier 1 - South,Tier 1,Consumer,Paid Social,False,
CUST-000138,2024-03-15,Customer 138,client_138@example.com,Tier 1 - South,Tier 1,Consumer,Paid Social,False,
CUST-000139,2023-08-01,Customer 139,client_139@example.com,Tier 2 - North,Tier 2,Consumer,Paid Search,False,
CUST-000140,2024-07-19,Customer 140,client_140@example.com,Tier 1 - West,Tier 1,Consumer,Organic Search,True,2024-11-13
CUST-000141,2023-02-03,Customer 141,client_141@example.com,Tier 1 - West,Tier 1,SMB,Organic Search,False,
CUST-000142,2023-08-28,Customer 142,client_142@example.com,East,Tier 1,Consumer,Paid Social,False,
CUST-000143,2023-07-22,Customer 143,client_143@example.com,Tier 1 - South,Tier 1,Consumer,Email Marketing,False,
CUST-000144,2023-05-26,Customer 144,client_144@example.com,Tier 1 - West,Tier 1,Consumer,Paid Social,False,
CUST-000145,2024-08-05,Customer 145,client_145@example.com,East,Tier 1,Consumer,Organic Search,False,
CUST-000146,2024-02-17,Customer 146,client_146@example.com,East,Tier 1,Consumer,Paid Search,False,
CUST-000147,2023-02-10,Customer 147,client_147@example.com,Tier 2 - Central,Tier 2,Consumer,Paid Search,False,
CUST-000148,2023-08-23,Customer 148,client_148@example.com,East,Tier 1,Consumer,Email Marketing,False,
CUST-000149,2023-10-03,Customer 149,client_149@example.com,Tier 2 - North,Tier 2,Consumer,Paid Social,False,
CUST-000150,2024-03-28,Customer 150,client_150@example.com,East,Tier 1,Consumer,Paid Social,False,
CUST-000151,2024-05-18,Customer 151,client_151@example.com,East,Tier 1,Consumer,Organic Search,False,
CUST-000152,2023-04-18,Customer 152,client_152@example.com,Tier 2 - Central,Tier 2,Consumer,Organic Search,False,
CUST-000153,2024-02-15,Customer 153,client_153@example.com,Tier 2 - Central,Tier 2,Consumer,Organic Search,False,
CUST-000154,2023-11-28,Customer 154,client_154@example.com,Tier 1 - West,Tier 1,SMB,Affiliate,False,
CUST-000155,2023-01-02,Customer 155,client_155@example.com,Tier 2 - North,Tier 2,Consumer,Paid Search,False,
CUST-000156,2024-01-06,Customer 156,client_156@example.com,Tier 2 - North,Tier 2,Consumer,Paid Search,False,
CUST-000157,2023-10-01,Customer 157,client_157@example.com,Tier 2 - North,Tier 2,Consumer,Paid Social,False,
CUST-000158,2023-05-05,Customer 158,client_158@example.com,Tier 1 - West,Tier 1,SMB,Paid Social,False,
CUST-000159,2023-11-15,Customer 159,client_159@example.com,Tier 2 - North,Tier 2,Consumer,Email Marketing,False,
CUST-000160,2023-04-27,Customer 160,client_160@example.com,Tier 1 - South,Tier 1,SMB,Organic Search,False,
CUST-000161,2023-10-26,Customer 161,client_161@example.com,Tier 2 - North,Tier 2,SMB,Email Marketing,False,
CUST-000162,2023-09-07,Customer 162,client_162@example.com,Tier 1 - South,Tier 1,Consumer,Paid Social,False,
CUST-000163,2023-05-20,Customer 163,client_163@example.com,Tier 2 - Central,Tier 2,SMB,Organic Search,False,
CUST-000164,2024-06-03,Customer 164,client_164@example.com,Tier 1 - South,Tier 1,Consumer,Paid Social,True,2024-11-02
CUST-000165,2024-05-16,Customer 165,client_165@example.com,Tier 2 - Central,Tier 2,Consumer,Organic Search,False,
CUST-000166,2024-07-10,Customer 166,client_166@example.com,Tier 1 - South,Tier 1,SMB,Email Marketing,False,
CUST-000167,2023-09-02,Customer 167,client_167@example.com,Tier 2 - North,Tier 2,SMB,Paid Search,False,
CUST-000168,2024-04-29,Customer 168,client_168@example.com,Tier 2 - North,Tier 2,Consumer,Paid Social,False,
CUST-000169,2023-06-05,Customer 169,client_169@example.com,Tier 2 - North,Tier 2,VIP Enterprise,Organic Search,True,2023-10-07
CUST-000170,2023-04-13,Customer 170,client_170@example.com,Tier 2 - Central,Tier 2,Consumer,Organic Search,False,
CUST-000171,2023-05-28,Customer 171,client_171@example.com,Tier 1 - South,Tier 1,Consumer,Organic Search,False,
CUST-000172,2023-09-29,Customer 172,client_172@example.com,Tier 1 - South,Tier 1,Consumer,Affiliate,False,
CUST-000173,2024-06-30,Customer 173,client_173@example.com,Tier 1 - South,Tier 1,SMB,Paid Social,False,
CUST-000174,2024-07-08,Customer 174,client_174@example.com,Tier 1 - West,Tier 1,Consumer,Email Marketing,False,
CUST-000175,2023-08-21,Customer 175,client_175@example.com,Tier 2 - Central,Tier 2,Consumer,Paid Social,False,
CUST-000176,2023-04-13,Customer 176,client_176@example.com,Tier 1 - South,Tier 1,SMB,Paid Search,False,
CUST-000177,2023-02-27,Customer 177,client_177@example.com,Tier 1 - South,Tier 1,Consumer,Paid Social,False,
CUST-000178,2024-08-02,Customer 178,client_178@example.com,Tier 2 - North,Tier 2,Consumer,Paid Social,False,
CUST-000179,2024-01-27,Customer 179,client_179@example.com,Tier 2 - North,Tier 2,SMB,Paid Search,False,
CUST-000180,2024-04-17,Customer 180,client_180@example.com,Tier 2 - North,Tier 2,Consumer,Affiliate,False,
CUST-000181,2024-04-21,Customer 181,client_181@example.com,Tier 2 - Central,Tier 2,Consumer,Organic Search,False,
CUST-000182,2023-12-20,Customer 182,client_182@example.com,East,Tier 1,VIP Enterprise,Paid Social,False,
CUST-000183,2024-04-12,Customer 183,client_183@example.com,Tier 2 - Central,Tier 2,Consumer,Organic Search,False,
CUST-000184,2023-08-31,Customer 184,client_184@example.com,Tier 1 - South,Tier 1,Consumer,Paid Social,False,
CUST-000185,2023-01-23,Customer 185,client_185@example.com,East,Tier 1,Consumer,Paid Social,False,
CUST-000186,2023-02-20,Customer 186,client_186@example.com,East,Tier 1,SMB,Email Marketing,False,
CUST-000187,2023-08-24,Customer 187,client_187@example.com,Tier 2 - North,Tier 2,Consumer,Paid Social,False,
CUST-000188,2023-05-21,Customer 188,client_188@example.com,Tier 2 - North,Tier 2,Consumer,Organic Search,False,
CUST-000189,2024-03-27,Customer 189,client_189@example.com,Tier 1 - West,Tier 1,Consumer,Email Marketing,False,
CUST-000190,2023-12-01,Customer 190,client_190@example.com,Tier 2 - Central,Tier 2,Consumer,Paid Social,False,
CUST-000191,2024-01-10,Customer 191,client_191@example.com,Tier 2 - North,Tier 2,SMB,Organic Search,False,
CUST-000192,2024-05-08,Customer 192,client_192@example.com,East,Tier 1,SMB,Affiliate,False,
CUST-000193,2024-04-24,Customer 193,client_193@example.com,East,Tier 1,VIP Enterprise,Affiliate,False,
CUST-000194,2024-02-11,Customer 194,client_194@example.com,East,Tier 1,Consumer,Affiliate,False,
CUST-000195,2023-01-15,Customer 195,client_195@example.com,Tier 1 - South,Tier 1,Consumer,Paid Social,False,
CUST-000196,2023-09-26,Customer 196,client_196@example.com,Tier 2 - North,Tier 2,VIP Enterprise,Paid Search,False,
CUST-000197,2023-08-28,Customer 197,client_197@example.com,Tier 2 - North,Tier 2,VIP Enterprise,Organic Search,False,
CUST-000198,2023-08-15,Customer 198,client_198@example.com,Tier 2 - North,Tier 2,Consumer,Paid Social,False,
CUST-000199,2024-02-23,Customer 199,client_199@example.com,Tier 1 - West,Tier 1,Consumer,Organic Search,True,2024-04-27
CUST-000200,2023-04-10,Customer 200,client_200@example.com,Tier 1 - West,Tier 1,Consumer,Organic Search,False,
CUST-000201,2024-07-07,Customer 201,client_201@example.com,Tier 1 - South,Tier 1,Consumer,Organic Search,False,
CUST-000202,2023-04-12,Customer 202,client_202@example.com,Tier 2 - Central,Tier 2,VIP Enterprise,Organic Search,False,
CUST-000203,2024-01-15,Customer 203,client_203@example.com,Tier 1 - West,Tier 1,Consumer,Organic Search,False,
CUST-000204,2024-01-12,Customer 204,client_204@example.com,Tier 2 - North,Tier 2,Consumer,Organic Search,False,
CUST-000205,2023-07-14,Customer 205,client_205@example.com,East,Tier 1,SMB,Paid Search,False,
CUST-000206,2023-08-06,Customer 206,client_206@example.com,Tier 2 - North,Tier 2,Consumer,Affiliate,False,
CUST-000207,2023-09-07,Customer 207,client_207@example.com,East,Tier 1,Consumer,Affiliate,False,
CUST-000208,2024-07-21,Customer 208,client_208@example.com,Tier 1 - West,Tier 1,SMB,Organic Search,False,
CUST-000209,2023-06-01,Customer 209,client_209@example.com,Tier 2 - Central,Tier 2,Consumer,Email Marketing,False,
CUST-000210,2023-05-14,Customer 210,client_210@example.com,Tier 2 - North,Tier 2,Consumer,Affiliate,False,
CUST-000211,2023-05-15,Customer 211,client_211@example.com,Tier 1 - West,Tier 1,Consumer,Organic Search,False,
CUST-000212,2023-06-28,Customer 212,client_212@example.com,Tier 1 - South,Tier 1,Consumer,Paid Search,False,
CUST-000213,2023-03-07,Customer 213,client_213@example.com,Tier 2 - North,Tier 2,Consumer,Paid Search,False,
CUST-000214,2024-05-30,Customer 214,client_214@example.com,Tier 1 - West,Tier 1,SMB,Email Marketing,False,
CUST-000215,2024-06-17,Customer 215,client_215@example.com,Tier 1 - South,Tier 1,Consumer,Email Marketing,False,
CUST-000216,2024-02-16,Customer 216,client_216@example.com,Tier 1 - South,Tier 1,SMB,Organic Search,False,
CUST-000217,2023-03-24,Customer 217,client_217@example.com,Tier 1 - South,Tier 1,Consumer,Paid Social,False,
CUST-000218,2024-08-22,Customer 218,client_218@example.com,Tier 2 - North,Tier 2,VIP Enterprise,Paid Social,False,
CUST-000219,2024-04-09,Customer 219,client_219@example.com,Tier 2 - North,Tier 2,SMB,Paid Search,False,
CUST-000220,2024-07-18,Customer 220,client_220@example.com,Tier 2 - Central,Tier 2,Consumer,Paid Search,False,
CUST-000221,2023-12-14,Customer 221,client_221@example.com,Tier 2 - Central,Tier 2,SMB,Organic Search,False,
CUST-000222,2023-11-17,Customer 222,client_222@example.com,Tier 2 - North,Tier 2,Consumer,Email Marketing,False,
CUST-000223,2023-03-10,Customer 223,client_223@example.com,Tier 1 - West,Tier 1,Consumer,Paid Social,False,
CUST-000224,2024-01-17,Customer 224,client_224@example.com,Tier 2 - Central,Tier 2,Consumer,Paid Social,False,
CUST-000225,2023-12-04,Customer 225,client_225@example.com,Tier 2 - North,Tier 2,SMB,Email Marketing,False,
CUST-000226,2024-03-09,Customer 226,client_226@example.com,Tier 2 - Central,Tier 2,VIP Enterprise,Paid Social,False,
CUST-000227,2023-12-27,Customer 227,client_227@example.com,Tier 1 - West,Tier 1,Consumer,Organic Search,False,
CUST-000228,2023-04-21,Customer 228,client_228@example.com,Tier 1 - South,Tier 1,Consumer,Organic Search,False,
CUST-000229,2023-08-20,Customer 229,client_229@example.com,Tier 2 - Central,Tier 2,VIP Enterprise,Affiliate,False,
CUST-000230,2024-07-24,Customer 230,client_230@example.com,Tier 1 - West,Tier 1,SMB,Organic Search,False,
CUST-000231,2023-07-04,Customer 231,client_231@example.com,Tier 1 - South,Tier 1,VIP Enterprise,Organic Search,False,
CUST-000232,2023-07-05,Customer 232,client_232@example.com,Tier 2 - Central,Tier 2,Consumer,Paid Search,False,
CUST-000233,2023-02-01,Customer 233,client_233@example.com,Tier 1 - West,Tier 1,Consumer,Organic Search,False,
CUST-000234,2023-06-11,Customer 234,client_234@example.com,Tier 1 - South,Tier 1,SMB,Paid Social,False,
CUST-000235,2023-03-28,Customer 235,client_235@example.com,Tier 2 - Central,Tier 2,SMB,Paid Search,False,
CUST-000236,2023-03-25,Customer 236,client_236@example.com,Tier 1 - South,Tier 1,Consumer,Organic Search,False,
CUST-000237,2023-10-07,Customer 237,client_237@example.com,Tier 1 - West,Tier 1,Consumer,Paid Search,False,
CUST-000238,2024-05-13,Customer 238,client_238@example.com,Tier 2 - North,Tier 2,Consumer,Email Marketing,False,
CUST-000239,2023-02-26,Customer 239,client_239@example.com,Tier 1 - West,Tier 1,Consumer,Paid Search,False,
CUST-000240,2023-09-19,Customer 240,client_240@example.com,Tier 1 - South,Tier 1,Consumer,Organic Search,False,
CUST-000241,2023-05-13,Customer 241,client_241@example.com,Tier 1 - South,Tier 1,Consumer,Affiliate,False,
CUST-000242,2023-12-29,Customer 242,client_242@example.com,Tier 1 - West,Tier 1,Consumer,Paid Search,False,
CUST-000243,2023-03-21,Customer 243,client_243@example.com,Tier 2 - Central,Tier 2,Consumer,Paid Social,False,
